"","GEOID","TOTAL","MONTH_HC","SCD_TOT","SCD","AD_TOT","AMB_D","ILD_TOT","ILD","ES_TOT","ES_EMP","ES_UNEMP","ES_NLF","OS_TOT","OS_OCC","OS_VAC","VAC_TOT","VAC_FOR_RENT","VAC_RENTED","VAC_FOR_SALE","VAC_SOLD_NO","VAC_SEASONAL_USE","VAC_MIGRANT","VAC_OTHER_VAC","RA_TOT","RA_SUB_100","RA_100_149","RA_150_199","RA_200_249","RA_250_299","RA_300_349","RA_350_399","RA_400_449","RA_450_499","RA_500_549","RA_550_599","RA_600_649","RA_650_699","RA_700_749","RA_750_799","RA_800_899","RA_900_999","RA_1000._1249","RA_1250_1.499","RA_1500._1999","RA_2000_2499","RA_2500_2999","RA_3000_3499","R_3500_OVER","TEN_TOT","TEN_OWNER","TEN_RENTER","RELOC_TOT","RELOC_COUNTY","RELOC_COUNTY_1_4","RELOC_COUNTY_5_17","RELOC_COUNTY_18_19","RELOC_COUNTY_20_24","RELOC_COUNTY_25_29","RELOC_COUNTY_30_34","RELOC_COUNTY_35_39","RELOC_COUNTY_40_44","RELOC_COUNTY_45_49","RELOC_COUNTY_50_54","RELOC_COUNTY_55_59","RELOC_COUNTY_60_64","RELOC_COUNTY_65_69","RELOC_COUNTY_70_74","RELOC_COUNTY_75_OVER","RELOC_POV_TOT","RELOC_PL_SUB_100","RELOC_PL_100_149","RELOC_PL_150_OVER","VS_TOT","VS_TOT_VET","VS_VET_18_34","VS_VET_35_54","VS_VET_55_64","VS_VET_65_74","VS_VET_75","SERV_DIS_TOT","SERV_DIS_EXISTING","HT_TOT","HT_FAM","HT_FAM_MAR","HT_FAM_MHH","HT_FAM_FHH","HT_LIVING_ALONE","LES_TOT","LES","LIV_ARR_TOT","LIV_ARR_ALONE_18_34","LIV_ARR_DEP_18_34","LIV_ARR_NONRELATIVES_18_34","LIV_ARR_ALONE_35_64","LIV_ARR_DEP_35_64","LIV_ARR_NONRELATIVES_35_64","LIV_ARR_ALONE_65_OVER","LIV_ARR_DEP_65_OVER","LIV_ARR_NONRELATIVES_65_OVER","VEH_TOT","VEH_1HH_TOT","VEH_1HH_NONE","VEH_1HH_1VEH","VEH_1HH_2VEH","VEH_1HH_3VEH","VEH_1HH_4VEH","VEH_2HH_TOT","VEH_2HH_NONE","VEH_2HH_1VEH","VEH_2HH_2VEH","VEH_2HH_3VEH","VEH_2HH_4VEH","VEH_3HH_TOT","VEH_3HH_NONE","VEH_3HH_1VEH","VEH_3HH_2VEH","VEH_3HH_3VEH","VEH_3HH_4VEH","VEH_4HH_TOT","VEH_4HH_NONE","VEH_4HH_1VEH","VEH_4HH_2VEH","VEH_4HH_3VEH","VEH_4HH_4VEH","CMMT_TOT","CMMT_SUB_5","CMMT_5_9","CMMT_10_14","CMMT_15_19","CMMT_20_24","CMMT_25_29","CMMT_30_34","CMMT_35_39","CMMT_40_44","CMMT_45_59","CMMT_60_89","CMMT_90_OVER","TRANS_TOT","TRANS_SOV","TRANS_PUB","TRANS_BIKE","TRANS_WALK","PLW_TOT","PLW_RES_STATE","PLW_RES_COUNTY","PLW_NONRES_COUNTY","PLW_NONRES_STATE","OCCUPATION_TOT","OCCUPATION_PRO","OCCUPATION_SERV","GEN_TOT","GEN_MILL","GEN_SEN","HHF_TOT","HHF_GAS","HHF_TANK_GAS","HHF_ELEC","HHF_KERO","HHF_COAL","HHF_WOOD","HHF_SOLAR","HHF_OTHER","HHF_NONE","HHF_GAS_TOT","HHF_GAS_PERC","HHF_ELEC_PERC","HHF_KERO_PERC","HHF_SOLAR_PERC","HHF_OTHER_PERC","HIC_TOT","HIC_EMPL","HIC_DIR_PURC","HIC_MEDICARE","HIC_MEDICAID","HIC_TRICARE","HIC_VA_CARE","HIC_PRIM_SEC","HIC_NONE","PRICE_TOT","PRICE_SUB_10000","PRICE_10000_14999","PRICE_15000_19999","PRICE_20000_24999","PRICE_25000_29999","PRICE_30000_34999","PRICE_35000_39999","PRICE_40000_49999","PRICE_50000_59999","PRICE_60000_69999","PRICE_70000_79999","PRICE_80000_89999","PRICE_90000_99999","PRICE_100000_124999","PRICE_125000_149999","PRICE_150000_174999","PRICE_175000_199999","PRICE_200000_249999","PRICE_250000_299999","PRICE_300000_399999","PRICE_400000_499999","PRICE_500000_749999","PRICE_750000_999999","PRICE_1000000_1499999","PRICE_1500000_1999999","PRICE_2000000_OVER","MED_HH_INCOME","INCOME_TOT","INCOME_SUB_10000","INCOME_10000_14999","INCOME_15000_19999","INCOME_20000_24999","INCOME_25000_29999","INCOME_30000_34999","INCOME_35000_39999","INCOME_40000_44999","INCOME_45000_49999","INCOME_50000_59999","INCOME_60000_74999","INCOME_75000_99999","INCOME_100000_124999","INCOME_125000_149999","INCOME_150000_199999","INCOME_200000_OVER","PS_TOT","PS_POV","PS_POV_PERC","TCOST_IDX","HAZ_IDX","JPI_IDX"
"1",24031700101,4495,2799,4286,26,4286,176,3294,93,3448,2407,82,917,1444,1370,74,74,0,0,0,26,10,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,1278,92,4468,196,15,22,0,2,0,43,47,0,10,48,9,0,0,0,0,4468,0,10,186,3294,242,2,35,58,76,71,242,18,1370,1226,1127,26,73,124,4328,27,3336,0,410,20,72,53,72,52,0,0,1370,124,0,84,40,0,0,492,0,30,254,181,27,226,0,0,93,102,31,528,0,60,207,152,109,2165,21,64,108,173,433,188,349,62,133,292,253,89,2373,1861,77,0,2,2373,2061,1816,245,312,2373,1424,314,4495,448,1035,1370,386,77,528,335,0,19,17,27,0,463,33.8,38.54,24.45,1.24,1.97,4453,2900,309,73,234,50,2,193,150,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,157230,1370,11,8,26,10,12,19,29,0,17,37,38,110,140,178,264,471,1226,45,3.67,70,55,51
"2",24031700103,5447,2428,5196,133,5196,285,4347,170,4609,2849,112,1632,1874,1780,94,94,0,0,51,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780,1714,66,5430,76,0,14,11,0,14,3,0,5,22,0,0,0,0,1,6,5395,0,0,71,4382,282,18,96,46,44,78,282,35,1780,1505,1381,46,78,245,5247,44,4337,27,663,96,137,22,28,81,0,24,1780,245,1,173,47,13,11,645,0,56,384,134,71,315,12,25,90,155,33,575,0,41,139,161,234,2467,23,92,160,241,342,231,310,79,186,404,321,78,2768,2041,202,0,36,2768,2351,2094,257,417,2768,1773,255,5447,739,1415,1780,746,103,544,351,0,10,0,36,6,849,47.7,30.56,19.72,0,2.02,5396,3273,570,265,132,127,0,248,184,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,18,0,0,0,145441,1780,22,1,19,33,12,27,27,34,36,99,157,144,140,183,153,693,1505,21,1.4,71,53,76
"3",24031700104,5837,2011,5312,56,5312,146,4135,168,4346,2863,152,1309,1954,1876,78,78,0,24,24,0,0,0,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1876,1670,206,5753,756,146,177,80,121,47,34,114,37,0,0,0,0,0,0,0,5753,0,545,211,4135,277,50,86,41,72,28,277,34,1876,1498,1022,117,359,292,5334,70,4157,36,696,148,167,32,86,89,0,0,1876,292,10,239,43,0,0,659,7,142,418,85,7,288,7,67,128,74,12,637,10,57,427,131,12,2752,48,70,163,255,397,175,385,139,154,402,442,122,2845,2158,266,15,46,2845,2259,1935,324,586,2845,1597,353,5837,1030,804,1876,405,18,1445,8,0,0,0,0,0,423,22.55,77.03,0.43,0,0,5815,3371,359,106,796,120,0,349,347,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,111439,1876,26,0,15,26,16,44,29,134,0,193,169,191,261,162,254,356,1498,6,0.4,87,NA,51
"4",24031700105,5963,2003,5530,49,5530,74,4500,110,4624,3244,257,1106,2104,2029,75,75,21,0,0,0,0,0,54,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2029,1726,303,5941,47,0,0,0,11,12,0,0,0,0,10,0,0,6,0,8,5906,0,10,37,4500,309,80,162,35,32,0,309,19,2029,1609,1294,50,265,369,5547,80,4517,27,679,46,307,65,1,35,0,0,2029,369,9,239,121,0,0,532,0,139,272,121,0,499,0,51,315,115,18,629,0,116,331,168,14,3029,37,77,116,172,526,149,451,174,139,459,534,195,3183,2331,507,0,0,3183,2427,1956,471,756,3183,2021,325,5963,1065,860,2029,835,14,1169,11,0,0,0,0,0,849,41.84,57.61,0.54,0,0,5946,3831,90,25,706,28,0,622,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102610,2029,29,41,36,66,21,0,55,59,132,128,79,325,256,277,351,174,1609,49,3.05,84,NA,62
"5",24031700204,1918,1782,1854,77,1854,155,1597,87,1712,965,27,715,773,762,11,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,684,78,1908,111,5,35,20,0,0,0,0,26,22,0,0,0,0,0,3,1887,1,1,107,1618,154,0,32,50,38,34,154,17,762,574,460,73,41,177,1880,15,1593,0,232,12,92,32,18,85,0,27,762,177,0,91,73,13,0,366,0,38,176,93,59,90,0,0,20,19,51,129,0,0,20,40,69,826,17,37,44,70,88,31,137,45,52,101,170,34,932,707,10,1,9,932,809,682,127,123,932,437,157,1918,204,611,762,39,88,413,157,0,48,3,62,9,127,16.67,54.2,20.6,0.39,8.14,1892,960,139,147,92,25,0,107,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89833,762,39,5,21,18,18,7,6,22,9,71,65,148,74,68,105,86,574,22,3.83,68,60,58
"6",24031700205,8668,2216,8104,118,8104,357,6314,244,6643,4607,124,1912,2817,2633,184,184,0,0,120,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633,2479,154,8564,648,38,140,24,0,62,56,199,19,20,0,0,24,66,0,0,8547,37,0,611,6314,318,20,82,115,54,47,318,25,2633,2266,2037,17,212,333,8104,54,6310,37,894,35,219,102,59,77,0,0,2633,333,16,264,53,0,0,718,0,32,483,91,112,518,0,90,252,149,27,1064,0,57,515,236,256,4324,20,105,297,471,484,275,723,237,197,635,697,183,4509,3663,204,0,23,4509,3898,3370,528,611,4509,2916,472,8668,1257,1229,2633,1574,47,756,222,0,12,0,34,0,1621,61.56,28.71,8.43,0,1.29,8668,6633,464,74,286,32,0,357,143,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,13,0,50,0,0,0,0,147305,2633,41,29,29,14,12,40,0,53,63,34,160,284,347,250,617,660,2266,39,1.72,70,49,42
"7",24031700206,5727,1913,5475,137,5475,320,4287,184,4516,3125,175,1208,1863,1774,89,89,0,0,34,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,1668,106,5703,156,11,27,0,0,22,12,25,20,6,11,12,0,0,0,10,5674,12,0,133,4300,378,30,83,85,75,105,378,36,1774,1490,1342,61,87,224,5496,41,4295,0,693,71,149,42,46,75,0,5,1774,224,9,146,69,0,0,534,7,65,304,126,32,385,0,22,145,145,73,631,4,17,269,201,140,2875,33,65,133,261,438,90,437,139,294,409,373,203,3038,2522,118,0,15,3038,2615,2267,348,423,3038,1556,435,5727,860,1096,1774,700,89,659,306,0,10,0,20,0,789,44.48,37.15,17.25,0,1.13,5706,3843,412,101,365,51,0,252,158,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,9,0,0,0,0,0,132424,1774,28,10,28,25,0,24,15,15,19,48,139,231,262,175,356,399,1490,22,1.48,68,58,23
"8",24031700207,5686,1694,5118,58,5118,131,3984,66,4120,3107,75,927,1980,1833,147,147,37,11,0,27,0,0,72,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,0,0,0,0,0,1833,1478,355,5545,279,10,66,0,18,36,66,10,0,32,19,9,0,7,0,6,5535,13,0,256,3984,347,93,69,85,51,49,347,89,1833,1430,1154,74,202,295,5129,130,3987,9,476,95,198,58,46,88,0,59,1833,295,0,281,14,0,0,569,0,31,436,76,26,361,10,83,112,118,38,608,20,20,351,118,99,2948,153,57,101,147,288,159,728,88,228,469,397,133,3012,2342,165,0,42,3012,2719,2235,484,293,3012,1597,461,5686,1094,735,1833,645,11,1040,123,0,6,0,14,8,656,35.79,56.74,6.71,0,0.76,5675,3496,349,105,640,283,0,302,191,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,99506,1833,42,17,8,98,73,16,73,38,67,95,121,277,317,201,280,110,1430,69,4.83,81,NA,52
"9",24031700208,2342,2265,2198,34,2198,49,1770,26,1845,1281,81,483,786,767,19,19,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,705,62,2310,112,19,5,0,6,33,0,0,5,20,5,15,0,0,0,4,2310,15,0,97,1770,138,11,43,22,47,15,138,24,767,623,540,10,73,125,2198,5,1770,5,295,15,94,22,43,26,0,0,767,125,7,49,50,0,19,237,0,37,149,38,13,133,5,7,39,69,13,272,0,9,74,95,94,1167,57,71,81,31,52,75,179,80,109,198,142,92,1267,1011,43,0,16,1267,1093,916,177,174,1267,580,213,2342,342,345,767,115,74,333,212,0,33,0,33,0,189,24.64,43.42,27.64,0,4.3,2342,1643,184,61,105,17,0,77,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,121458,767,24,18,19,6,13,10,17,6,20,36,58,93,75,93,113,166,623,17,2.73,74,NA,73
"10",24031700304,8173,2161,7641,22,7641,138,6045,110,6272,4371,211,1690,2687,2575,112,112,0,0,55,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575,1776,799,8037,568,46,75,26,65,39,183,18,23,41,0,52,0,0,0,0,8037,52,84,432,6045,195,97,0,58,22,18,195,32,2575,2182,1664,71,447,286,7641,178,6045,79,933,116,189,25,256,18,0,0,2575,286,38,248,0,0,0,623,32,198,316,61,16,875,0,210,316,321,28,791,20,43,443,164,121,4142,19,310,287,369,480,125,630,121,194,360,753,494,4314,2997,552,0,147,4314,3445,3268,177,869,4314,2551,459,8173,1564,1100,2575,1959,24,500,92,0,0,0,0,0,1983,77.01,19.42,3.57,0,0,8173,5484,819,173,360,82,0,203,526,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,122201,2575,155,40,19,13,0,42,65,39,0,150,250,270,253,339,455,485,2182,163,7.47,91,22,74
